Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary,Name-additional
1,CJ Abrams*,22,WSN,NL,151,614,563,83,138,28,6,18,64,47,4,32,118,.245,.300,.412,.712,95,232,7,13,3,3,2,*6/H,abramcj01
2,José Abreu,36,HOU,AL,141,594,540,62,128,23,1,18,90,0,1,42,130,.237,.296,.383,.680,87,207,16,6,0,6,1,*3/D,abreujo02
3,Wilyer Abreu*,24,BOS,AL,28,85,76,10,24,6,0,2,14,3,1,9,23,.316,.388,.474,.862,132,36,0,0,0,0,0,87/H9D,abreuwi02
4,Ronald Acuna Jr.,25,ATL,NL,159,735,643,149,217,35,4,41,106,73,14,80,84,.337,.416,.596,1.012,168,383,15,9,0,3,3,*9/D,acunaro01
5,Willy Adames,27,MIL,NL,149,638,553,73,120,29,2,24,80,5,3,71,165,.217,.310,.407,.717,95,225,12,6,0,6,1,*6/D,adamewi01
6,Jordyn Adams,23,LAA,AL,17,40,39,1,5,0,0,0,1,1,2,0,16,.128,.125,.128,.253,-31,5,0,0,0,1,0,/98H7,adamsjo03
7,Riley Adams,27,WSN,NL,44,158,143,8,39,13,2,4,21,0,0,11,45,.273,.331,.476,.807,120,68,5,2,1,1,0,2/HD,adamsri03
8,Ty Adcock,26,SEA,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,adcocty01
9,Jo Adell,24,LAA,AL,17,62,58,7,12,3,1,3,6,1,0,4,25,.207,.258,.448,.706,87,26,1,0,0,0,0,/987DH,adelljo01
10,Ehire Adrianza#,33,ATL,NL,5,11,10,0,0,0,0,0,0,0,0,1,4,.000,.091,.000,.091,-72,0,0,0,0,0,0,/H6,adriaeh01
11,Jesús Aguilar,33,OAK,AL,36,115,104,8,23,2,0,5,9,0,0,8,31,.221,.281,.385,.665,89,40,3,1,0,1,2,3/DH,aguilje01
12,Nick Ahmed,33,ARI,NL,72,210,198,14,42,10,1,2,17,5,1,12,52,.212,.257,.303,.560,53,60,0,0,0,0,0,6H/D,ahmedni01
13,Hanser Alberto,30,CHW,AL,30,90,82,11,18,5,0,3,16,0,0,4,13,.220,.261,.390,.652,75,32,1,1,2,1,0,54/31H,alberha01
14,Ozzie Albies#,26,ATL,NL,148,660,596,96,167,30,5,33,109,13,1,46,107,.280,.336,.513,.849,124,306,9,8,0,8,2,*4,albieoz01
15,Scott Alexander*,33,SFG,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,alexasc02
16,Jorge Alfaro,30,TOT,MLB,18,52,48,2,7,4,0,1,4,0,0,2,15,.146,.212,.292,.503,31,14,3,2,0,0,0,/D2H,alfarjo01
17,Greg Allen#,30,NYY,AL,22,28,23,6,5,1,1,1,1,3,1,2,10,.217,.333,.478,.812,119,11,0,2,1,0,0,7H/98D,allengr01
18,Nick Allen,24,OAK,AL,106,329,303,29,67,4,2,4,20,5,1,17,52,.221,.263,.287,.550,58,87,8,1,6,2,0,6/H4D,allenni02
19,Abraham Almonte#,34,NYM,NL,8,16,15,1,1,1,0,0,0,0,0,1,8,.067,.125,.133,.258,-28,2,0,0,0,0,0,/HD79,almonab01
20,Pete Alonso,28,NYM,NL,154,658,568,92,123,21,2,46,118,4,1,65,151,.217,.318,.504,.821,122,286,17,21,0,4,6,*3/D,alonspe01
21,Jose Altuve,33,HOU,AL,90,410,360,76,112,21,2,17,51,14,2,44,71,.311,.393,.522,.915,151,188,9,5,0,1,0,4/DH,altuvjo01
22,Jake Alu*,26,WSN,NL,51,175,159,14,36,2,1,2,16,5,1,10,42,.226,.282,.289,.571,59,46,2,3,1,2,0,74/5H,aluja01
23,Francisco Alvarez,21,NYM,NL,123,423,382,51,80,12,0,25,63,2,0,34,110,.209,.284,.437,.721,95,167,14,6,0,1,0,2H/D,alvarfr01
24,Yordan Alvarez*,26,HOU,AL,114,496,410,77,120,24,1,31,97,0,0,69,92,.293,.407,.583,.990,170,239,7,13,0,4,5,D7/H,alvaryo01
25,Jacob Amaya,24,MIA,NL,4,9,9,1,2,0,0,0,2,1,0,0,1,.222,.222,.222,.444,22,2,0,0,0,0,0,/64,amayaja01
26,Miguel Amaya,24,CHC,NL,53,156,131,17,28,4,0,5,18,0,0,12,40,.214,.329,.359,.688,86,47,2,11,1,1,0,2/DH,amayami01
27,Brian Anderson,30,MIL,NL,96,361,318,38,72,12,3,9,40,1,3,36,108,.226,.310,.368,.678,86,117,10,4,0,3,0,59/HD,anderbr06
28,Tim Anderson,30,CHW,AL,123,524,493,52,121,18,2,1,25,13,2,26,122,.245,.286,.296,.582,60,146,15,3,0,2,0,*6/H4,anderti01
29,Elvis Andrus,34,CHW,AL,112,406,374,39,94,20,1,6,44,12,4,25,71,.251,.304,.358,.662,81,134,11,4,1,2,1,46/H5D,andruel01
30,Miguel Andujar,28,PIT,NL,30,90,84,9,21,7,0,4,18,2,0,6,13,.250,.300,.476,.776,108,40,1,0,0,0,0,9/HD7,andujmi01
31,Jonathan Aranda*,25,TBR,AL,34,103,87,13,20,4,1,2,13,0,0,13,31,.230,.340,.368,.708,98,32,1,2,0,1,1,D3H/45,arandjo01
32,Jonathan Araúz#,24,NYM,NL,27,66,59,3,8,0,0,3,9,0,0,5,18,.136,.203,.288,.491,34,17,1,0,2,0,0,5/46H,arauzjo01
33,Orlando Arcia,28,ATL,NL,139,533,488,66,129,25,0,17,65,1,0,39,102,.264,.321,.420,.741,98,205,14,3,0,3,0,*6/H,arciaor01
34,Nolan Arenado,32,STL,NL,144,612,560,71,149,26,2,26,93,3,3,41,101,.266,.315,.459,.774,109,257,21,3,0,8,5,*5D/H,arenano01
35,Gabriel Arias,23,CLE,AL,122,345,315,36,66,15,0,10,26,3,4,28,113,.210,.275,.352,.628,75,111,9,1,0,1,0,63H95/D4,ariasga01
36,Randy Arozarena,28,TBR,AL,151,654,551,95,140,19,3,23,83,22,10,80,156,.254,.364,.425,.789,120,234,10,18,0,5,1,*7D/H,arozara01
37,Luis Arraez*,26,MIA,NL,147,617,574,71,203,30,3,10,69,3,2,35,34,.354,.393,.469,.861,133,269,18,4,1,3,10,*43/HD,arraelu01
38,Christian Arroyo,28,BOS,AL,66,206,195,23,47,16,0,3,24,1,3,7,45,.241,.268,.369,.638,70,72,8,1,1,2,0,4/H56,arroych01
39,José Azocar,27,SDP,NL,55,102,91,16,21,6,0,2,9,8,2,4,24,.231,.278,.363,.641,78,33,2,2,5,0,0,98H/7D,azocajo01
40,Akil Baddoo*,24,DET,AL,112,357,312,40,68,13,1,11,34,14,3,42,89,.218,.310,.372,.682,86,116,4,0,2,1,2,7H/8D9,baddoak01
41,Harrison Bader,29,TOT,MLB,98,344,319,44,74,12,2,7,40,20,3,17,59,.232,.274,.348,.622,69,111,7,3,1,4,0,8/HD,baderha01
42,Ji Hwan Bae*,23,PIT,NL,111,371,334,54,77,17,2,2,32,24,9,30,92,.231,.296,.311,.608,67,104,4,2,3,2,0,48H/6,baeji01
43,Javier Báez,30,DET,AL,136,547,510,58,113,18,4,9,59,12,0,24,125,.222,.267,.325,.593,62,166,12,9,0,3,0,*6/DH,baezja01
44,Patrick Bailey#,24,SFG,NL,97,353,326,29,76,18,1,7,48,1,0,21,100,.233,.285,.359,.644,77,117,8,3,2,1,0,2/HD,bailepa01
45,Bryan Baker,28,BAL,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,bakerbr01
46,Luken Baker,26,STL,NL,33,99,86,9,18,3,0,2,10,0,0,13,31,.209,.313,.314,.627,73,27,1,0,0,0,0,D3/H,bakerlu01
47,Rylan Bannon,27,HOU,AL,2,6,6,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,0,0,0,/4D,bannory01
48,Scott Barlow,30,TOT,MLB,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,barlosc01
49,Austin Barnes,33,LAD,NL,59,200,178,15,32,5,0,2,11,2,1,17,43,.180,.256,.242,.498,36,43,7,2,1,2,0,2/H4D,barneau01
50,Tucker Barnhart*,32,CHC,NL,44,123,109,6,22,3,0,1,9,1,0,12,42,.202,.285,.257,.541,48,28,4,1,0,1,0,2/1H,barnhtu01
51,Tres Barrera,28,STL,NL,6,2,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,/2H,barretr01
52,Jose Barrero,25,CIN,NL,46,149,133,15,29,8,0,2,17,3,2,15,44,.218,.295,.323,.619,67,43,1,0,0,1,0,68/HD,garcijo02
53,Joey Bart,26,SFG,NL,30,95,87,9,18,5,0,0,5,0,0,3,23,.207,.263,.264,.528,47,23,0,4,0,1,0,2/H,bartjo01
54,Osleivis Basabe,22,TBR,AL,31,94,87,15,19,5,0,1,12,0,1,6,25,.218,.277,.310,.587,64,27,2,1,0,0,0,6/5H497,basabos01
55,Matthew Batten,28,SDP,NL,43,139,120,19,31,6,0,2,11,2,2,17,30,.258,.355,.358,.713,101,43,0,1,1,0,0,45/3HD6,battema01
56,Brett Baty*,23,NYM,NL,108,389,353,41,75,12,0,9,34,2,0,29,109,.212,.275,.323,.598,65,114,8,2,1,1,0,5/HD7,batybr01
